----- Modified from GlisovicEtAl_2015GRL -----
z(m)_orig z(m)_mod radius(m) G(K) M(K) N(K)
1093136.62021969 1096136.62021969 5274863.37978031 2004.23197092 2112.71772295 2063.61000000
1058866.77820625 1061866.77820625 5309133.22179375 1993.44229172 2098.35438917 2052.94000000
1024828.92604456 1027828.92604456 5343171.07395544 1982.68211302 2084.04111696 2041.99000000
991043.56686400 994043.56686400 5376956.43313600 1971.95399007 2069.77334198 2031.23000000
957531.05170163 960531.05170163 5410468.94829837 1961.25972783 2055.54468140 2020.44000000
924311.56724348 927311.56724348 5443688.43275652 1950.60086665 2041.33127912 2009.83000000
891405.12366481 894405.12366481 5476594.87633519 1939.97927601 2027.16878220 1999.26000000
858831.54257679 861831.54257679 5509168.45742321 1929.39728885 2013.10726522 1988.68000000
826610.44508667 829610.44508667 5541389.55491333 1918.85814037 1999.19442118 1978.16000000
794761.23997875 797761.23997875 5573238.76002125 1908.36652530 1985.47538624 1967.73000000
763303.11202326 766303.11202326 5604696.88797674 1897.92829456 1972.00256445 1957.46000000
732255.01042019 735255.01042019 5635744.98957981 1887.55087394 1959.15708746 1947.29000000
701635.63738499 704635.63738499 5666364.36261501 1877.24252636 1946.46915888 1937.08000000
671463.43688303 674463.43688303 5696536.56311697 1867.01251677 1933.10116173 1926.90000000
641756.58351969 644756.58351969 5726243.41648031 1856.87074735 1919.66649634 1917.26000000
612532.97159263 615532.97159263 5755467.02840737 1846.82701813 1907.99710336 1908.05000000
583810.20431293 586810.20431293 5784189.79568707 1836.89064032 1897.73153550 1899.05000000
555605.58320157 558605.58320157 5812394.41679843 1827.06981514 1888.49928367 1890.08000000
527936.09766770 530936.09766770 5840063.90233230 1817.37154402 1879.96271207 1881.30000000
500818.41477475 503818.41477475 5867181.58522525 1807.80109675 1871.81741293 1872.77000000
474268.86920091 477268.86920091 5893731.13079910 1798.36207180 1863.79233773 1864.66000000
448303.45339968 451303.45339968 5919696.54660033 1789.05606852 1855.64970933 1857.00000000
422937.80796663 425937.80796663 5945062.19203337 1779.88319081 1847.18472059 1849.61000000
398187.21221808 401187.21221808 5969812.78778192 1770.84244049 1838.22502632 1842.35000000
374066.57498744 377066.57498744 5993933.42501256 1761.93200810 1828.63003654 1835.29000000
350590.42564464 353590.42564464 6017409.57435536 1753.15007867 1818.29002014 1828.39000000
327772.90534421 330772.90534421 6040227.09465579 1744.49549085 1807.12502910 1821.76000000
305627.75850718 308627.75850718 6062372.24149282 1735.96853357 1795.08365426 1815.49000000
284168.32454195 287168.32454195 6083831.67545805 1727.57171967 1782.14162477 1809.68000000
263407.52980911 266407.52980911 6104592.47019089 1719.31068642 1768.30026398 1804.51000000
243357.87983512 246357.87983512 6124642.12016488 1711.19481702 1753.58481521 1799.70000000
