# This ASPECT-compatible file contains data to calculate the thermodynamic driving force in the ReactionKinetics material model. This table is for upper-mantle -> upper-mtz evaluated along an isentrope produced by the BurnMan software.
# POINTS: 501
#
# pressure (Pa) temperature (K) depth (m) density a (kg/m3) density b (kg/m3) thermal expansivity a (1/K) thermal expansivity b (1/K) specific heat a (J/K/kg) specific heat b (J/K/kg) compressibility a (1/Pa) compressibility b (1/Pa) seismic Vp a (m/s) seismic Vp b (m/s) seismic dVp/dT a (m/s/K) seismic dVp/dT b (m/s/K) seismic Vs a (m/s) seismic Vs b (m/s) seismic dVs/dT a (m/s/K) seismic dVs/dT b (m/s/K) molar internal energy a (J/mol) molar internal energy b (J/mol) molar Gibbs a (J/mol) molar Gibbs b (J/mol) molar entropy a (J/mol) molar entropy b (J/mol) molar volume a (m^3/mol) molar volume b (m^3/mol) delta density (kg/m3) delta thermal expansivity (1/K) delta specific heat (J/K/kg) delta compressibility (1/Pa) delta internal energy (J/mol) delta molar Gibbs (J/mol) delta molar entropy (J/K/mol) delta molar volume (m^3/mol)
#
pressure	temperature	depth	density_a	density_b	thermal_expansivity_a	thermal_expansivity_b	specific_heat_a	specific_heat_b	compressibility_a	compressibility_b	pressure_wave_velocity_a	pressure_wave_velocity_b	pressure_wave_velocity_T_derivative_a	pressure_wave_velocity_T_derivative_b	shear_wave_velocity_a	shear_wave_velocity_b	shear_wave_velocity_T_derivative_a	shear_wave_velocity_T_derivative_b	molar_internal_energy_a	molar_internal_energy_b	molar_gibbs_a	molar_gibbs_b	molar_entropy_a	molar_entropy_b	molar_volume_a	molar_volume_b	delta_density	delta_thermal_expansivity	delta_specific_heat	delta_compressibility	delta_molar_internal_energy	delta_molar_gibbs	delta_molar_entropy	delta_molar_volume
1.00000e+05	1.57300e+03	0.00000e+00	3.09124e+03	3.32849e+03	4.15466e-05	4.14913e-05	1.31346e+03	1.33120e+03	9.38769e-12	7.04375e-12	7.85639e+03	8.83850e+03	-6.87178e-01	-7.30841e-01	4.52189e+03	5.15748e+03	-4.68233e-01	-4.93586e-01	-1.81298e+06	-1.78816e+06	-2.37565e+06	-2.34021e+06	3.57706e+02	3.50958e+02	4.55141e-05	4.22699e-05	2.37247e+02	-5.53170e-08	1.77381e+01	-2.34394e-12	2.48190e+04	3.54320e+04	-6.74720e+00	-3.24414e-06
2.72100e+08	1.57525e+03	8.84345e+03	3.09937e+03	3.33508e+03	4.08742e-05	4.09652e-05	1.31162e+03	1.32946e+03	9.27911e-12	6.98328e-12	7.88316e+03	8.86070e+03	-6.78669e-01	-7.22931e-01	4.53098e+03	5.16538e+03	-4.64497e-01	-4.89877e-01	-1.81335e+06	-1.78847e+06	-2.36409e+06	-2.32952e+06	3.57460e+02	3.50752e+02	4.53948e-05	4.21864e-05	2.35716e+02	9.09453e-08	1.78371e+01	-2.29583e-12	2.48764e+04	3.45696e+04	-6.70768e+00	-3.20840e-06
5.44100e+08	1.57748e+03	1.76017e+04	3.10741e+03	3.34163e+03	4.02249e-05	4.04535e-05	1.30985e+03	1.32777e+03	9.17347e-12	6.92405e-12	7.90960e+03	8.88268e+03	-6.70460e-01	-7.15247e-01	4.53991e+03	5.17318e+03	-4.60891e-01	-4.86270e-01	-1.81368e+06	-1.78876e+06	-2.35255e+06	-2.31884e+06	3.57221e+02	3.50550e+02	4.52772e-05	4.21037e-05	2.34217e+02	2.28593e-07	1.79189e+01	-2.24942e-12	2.49204e+04	3.37167e+04	-6.67076e+00	-3.17351e-06
8.16099e+08	1.57971e+03	2.62776e+04	3.11538e+03	3.34812e+03	3.95974e-05	3.99557e-05	1.30814e+03	1.32613e+03	9.07064e-12	6.86602e-12	7.93570e+03	8.90445e+03	-6.62535e-01	-7.07778e-01	4.54871e+03	5.18089e+03	-4.57409e-01	-4.82760e-01	-1.81396e+06	-1.78901e+06	-2.34105e+06	-2.30817e+06	3.56990e+02	3.50353e+02	4.51615e-05	4.20220e-05	2.32748e+02	3.58231e-07	1.79850e+01	-2.20462e-12	2.49516e+04	3.28729e+04	-6.63630e+00	-3.13944e-06
1.08810e+09	1.58211e+03	3.48708e+04	3.12324e+03	3.35455e+03	3.89929e-05	3.94735e-05	1.30652e+03	1.32456e+03	8.97080e-12	6.80937e-12	7.96135e+03	8.92587e+03	-6.54912e-01	-7.00557e-01	4.55729e+03	5.18841e+03	-4.54063e-01	-4.79367e-01	-1.81418e+06	-1.78921e+06	-2.32964e+06	-2.29760e+06	3.56787e+02	3.50183e+02	4.50477e-05	4.19415e-05	2.31306e+02	4.80609e-07	1.80417e+01	-2.16143e-12	2.49712e+04	3.20394e+04	-6.60388e+00	-3.10617e-06
1.36010e+09	1.58727e+03	4.34079e+04	3.13070e+03	3.36057e+03	3.84396e-05	3.90386e-05	1.30524e+03	1.32340e+03	8.87779e-12	6.75703e-12	7.98490e+03	8.94516e+03	-6.48014e-01	-6.94139e-01	4.56448e+03	5.19453e+03	-4.51097e-01	-4.76408e-01	-1.81385e+06	-1.78886e+06	-2.31924e+06	-2.28801e+06	3.56912e+02	3.50343e+02	4.49404e-05	4.18665e-05	2.29861e+02	5.99038e-07	1.81546e+01	-2.12076e-12	2.49867e+04	3.12330e+04	-6.56919e+00	-3.07391e-06
1.63210e+09	1.59240e+03	5.19128e+04	3.13810e+03	3.36655e+03	3.79024e-05	3.86136e-05	1.30400e+03	1.32226e+03	8.78695e-12	6.70559e-12	8.00821e+03	8.96431e+03	-6.41320e-01	-6.87869e-01	4.57158e+03	5.20059e+03	-4.48218e-01	-4.73515e-01	-1.81349e+06	-1.78850e+06	-2.30886e+06	-2.27843e+06	3.57038e+02	3.50501e+02	4.48344e-05	4.17921e-05	2.28444e+02	7.11182e-07	1.82544e+01	-2.08136e-12	2.49912e+04	3.04348e+04	-6.53664e+00	-3.04233e-06
1.90410e+09	1.59748e+03	6.03830e+04	3.14544e+03	3.37250e+03	3.73805e-05	3.81980e-05	1.30280e+03	1.32115e+03	8.69819e-12	6.65502e-12	8.03127e+03	8.98332e+03	-6.34824e-01	-6.81741e-01	4.57858e+03	5.20659e+03	-4.45425e-01	-4.70684e-01	-1.81310e+06	-1.78812e+06	-2.29850e+06	-2.26885e+06	3.57164e+02	3.50658e+02	4.47298e-05	4.17184e-05	2.27051e+02	8.17421e-07	1.83419e+01	-2.04317e-12	2.49852e+04	2.96446e+04	-6.50614e+00	-3.01140e-06
2.17610e+09	1.60257e+03	6.88203e+04	3.15272e+03	3.37841e+03	3.68739e-05	3.77920e-05	1.30164e+03	1.32006e+03	8.61151e-12	6.60534e-12	8.05408e+03	9.00217e+03	-6.28517e-01	-6.75761e-01	4.58548e+03	5.21252e+03	-4.42714e-01	-4.67921e-01	-1.81268e+06	-1.78771e+06	-2.28816e+06	-2.25930e+06	3.57295e+02	3.50818e+02	4.46265e-05	4.16454e-05	2.25683e+02	9.18162e-07	1.84193e+01	-2.00617e-12	2.49693e+04	2.88627e+04	-6.47750e+00	-2.98112e-06
2.44810e+09	1.60782e+03	7.72259e+04	3.15992e+03	3.38426e+03	3.63833e-05	3.73973e-05	1.30054e+03	1.31903e+03	8.52704e-12	6.55671e-12	8.07654e+03	9.02074e+03	-6.22421e-01	-6.69954e-01	4.59219e+03	5.21831e+03	-4.40099e-01	-4.65240e-01	-1.81220e+06	-1.78725e+06	-2.27791e+06	-2.24982e+06	3.57450e+02	3.51000e+02	4.45248e-05	4.15734e-05	2.24335e+02	1.01393e-06	1.84912e+01	-1.97034e-12	2.49442e+04	2.80898e+04	-6.45039e+00	-2.95146e-06
