# This is a data table for enstatite computed using BurnMan.
# Independent variables are entropy and pressure.
# POINTS: 131 131
# s,J/kg/K P(bar) T(K) rho,kg/m3 alpha,1/K cp,J/K/kg vp,km/s vs,km/s h,J/kg
1484.3792323209366 11333.333333333332 877.9688350823708 2949.9852297037096 3.8260484540178295e-05 1021.2219083551619 3.944478732582912e-05 60233747091.61224 -10940571.756724834
1487.195832821139 11333.333333333332 880.3931267731823 2949.7111509732113 3.839217597080822e-05 1021.6834923509638 3.9448452422742586e-05 60126681865.52276 -10938095.459069958
1490.0124333213403 11333.333333333332 882.8230110376608 2949.4355148146906 3.852582404611522e-05 1022.1467577613362 3.9452139033224753e-05 60018497832.31146 -10935612.325282348
1492.8290338215422 11333.333333333332 885.2584941298701 2949.1583023362323 3.8661484038205515e-05 1022.611789326253 3.945584742189728e-05 59909168375.88637 -10933122.339601
1495.6456343217433 11333.333333333332 887.6995820754673 2948.879494164195 3.8799214023361194e-05 1023.0786756631647 3.9459577860091744e-05 59798665407.30815 -10930625.486247601
1498.462234821946 11333.333333333332 890.1462806635536 2948.5990704293717 3.8939073755590497e-05 1023.5475077158268 3.94633306260439e-05 59686960166.4994 -10928121.749427196
1501.278835322147 11333.333333333332 892.5985954392236 2948.3170107511073 3.908112569466865e-05 1024.0183799401364 3.946710600511577e-05 59574022720.757164 -10925611.113328861
1504.0954358223485 11333.333333333332 895.0565316895954 2948.0332942090045 3.922543512440126e-05 1024.491390403637 3.947090429018418e-05 59459821943.04736 -10923093.56212641
1506.9120363225497 11333.333333333332 897.520094435662 2947.7478993271125 3.9372069809744955e-05 1024.9666409391157 3.947472578186284e-05 59344325748.0332 -10920569.079979131
1509.728636822752 11333.333333333332 899.9892884173896 2947.460804047787 3.952110059892186e-05 1025.4442377724465 3.947857078886313e-05 59227500261.274254 -10918037.651032552
1512.5452373229534 11333.333333333332 902.4641180823091 2947.171985706627 3.967260172606822e-05 1025.924290990886 3.948243962834108e-05 59109311060.468925 -10915499.259419264
1515.3618378231547 11333.333333333332 904.9445875729434 2946.8814210059063 3.9826650332580323e-05 1026.4069149304473 3.948633262626511e-05 58989721660.0357 -10912953.889259744
1518.1784383233562 11333.333333333332 907.4307007133029 2946.5890859927094 3.998332695065874e-05 1026.8922286546617 3.949025011772134e-05 58868694616.15968 -10910401.52466324
1520.9950388235586 11333.333333333332 909.9224609937519 2946.294956025204 4.014271634635918e-05 1027.3803568105986 3.949419244737851e-05 58746190561.24935 -10907842.149728687
1523.81163932376 11333.333333333332 912.4198715530802 2945.9990057400064 4.0304906436980304e-05 1027.8714289893005 3.9498159969938995e-05 58622168760.33569 -10905275.74854568
1526.6282398239618 11333.333333333332 914.9229351661634 2945.7012090284015 4.0469989910074533e-05 1028.3655798644463 3.950215305047189e-05 58496586845.20503 -10902702.305195468
1529.4448403241631 11333.333333333332 917.4316542251036 2945.401538991917 4.0638063826694783e-05 1028.8629509446869 3.9506172065023604e-05 58369400290.34407 -10900121.80375201
1532.261440824365 11333.333333333332 919.9460307180416 2945.0999679124548 4.080922927322684e-05 1029.3636898297218 3.951021740103422e-05 58240563046.06095 -10897534.228283085
1535.0780413245661 11333.333333333332 922.4660662135575 2944.796467213174 4.0983592818890145e-05 1029.8679502421455 3.9514289457878715e-05 58110027047.83619 -10894939.562851453
1537.8946418247676 11333.333333333332 924.9917618390173 2944.491007415306 4.1161266318175725e-05 1030.3758936185513 3.951838864746371e-05 57977741810.12994 -10892337.791516053
1540.7112423249698 11333.333333333332 927.5231182568241 2944.1835580919505 4.134236723805133e-05 1030.8876889778576 3.952251539486584e-05 57843654940.4442 -10889728.898333296
1543.527842825172 11333.333333333332 930.0601356429979 2943.8740878297053 4.152701883909221e-05 1031.4035135515044 3.952667013886607e-05 57707711417.068405 -10887112.867358392
1546.3444433253733 11333.333333333332 932.6028136599343 2943.5625641712545 4.171535047763833e-05 1031.9235530244462 3.95308533327407e-05 57569853876.19344 -10884489.682646757
1549.1610438255748 11333.333333333332 935.1511514333542 2943.248953571492 4.190749911920795e-05 1032.4480021095903 3.953506544487201e-05 57430022289.63469 -10881859.328255504
1551.9776443257767 11333.333333333332 937.7051475218032 2942.9332213284247 4.2103608714318934e-05 1032.9770660507072 3.953930695969887e-05 57288153660.58492 -10879221.788244974
1554.7942448259782 11333.333333333332 940.2647998856846 2942.615331534335 4.2303830640107726e-05 1033.5109603271947 3.954357837839678e-05 57144182123.41545 -10876577.0466804
1557.6108453261797 11333.333333333332 942.8301058576908 2942.2952470079454 4.25083250361986e-05 1034.0499115372322 3.954788021981459e-05 56998038665.723564 -10873925.087633613
1560.4274458263806 11333.333333333332 945.4010621069465 2941.972929222578 4.2717260788468726e-05 1034.5941588297292 3.9552213021466776e-05 56849650699.20335 -10871265.895184873
1563.2440463265827 11333.333333333332 947.9776646017563 2941.648338237548 4.293081648340792e-05 1035.1439541080324 3.955657734048407e-05 56698942057.514854 -10868599.453424772
1566.0606468267843 11333.333333333332 950.5599085721187 2941.321432616277 4.3149181234591567e-05 1035.699563493733 3.956097375474449e-05 56545832881.20189 -10865925.746456277
1568.8772473269862 11333.333333333332 953.1477884645574 2940.9921693394085 4.3372554936559417e-05 1036.2612681664723 3.9565402864073784e-05 56390238955.68119 -10863244.75839686
1571.6938478271875 11333.333333333332 955.7412978997454 2940.660503719634 4.360114964359768e-05 1036.8293655272403 3.956986529142503e-05 56232071773.12726 -10860556.473380767
1574.5104483273894 11333.333333333332 958.3404296208173 2940.3263892965892 4.3835190307584696e-05 1037.4041706235498 3.9574361684328874e-05 56071238093.43644 -10857860.875561405
1577.327048827591 11333.333333333332 960.9451754430775 2939.989777734524 4.4074915849932105e-05 1037.986016872433 3.9578892716309044e-05 55907639868.02235 -10855157.9491139
1580.1436493277927 11333.333333333332 963.555526197888 2939.6506187088457 4.4320580097786704e-05 1038.5752585338835 3.958345908845057e-05 55741173187.343346 -10852447.678237766
1582.9602498279937 11333.333333333332 966.1714716691058 2939.3088597815517 4.457245354930748e-05 1039.1722723740643 3.95880615311206e-05 55571728609.670586 -10849730.047159778
1585.7768503281961 11333.333333333332 968.7930005276576 2938.9644462635197 4.483082440312762e-05 1039.7774588571774 3.9592700805869685e-05 55399190355.60687 -10847005.040136999
1588.5934508283976 11333.333333333332 971.4201002609916 2938.617321077074 4.509599964807714e-05 1040.391244111951 3.9597377707333015e-05 55223436223.8439 -10844272.641460022
1591.410051328599 11333.333333333332 974.0527570967097 2938.267424591552 4.536830751954008e-05 1041.0140829410159 3.9602093065499444e-05 55044336349.464485 -10841532.835456396
1594.2266518288006 11333.333333333332 976.6909559157211 2937.914694461768 4.5648099124896734e-05 1041.6464614354184 3.960684774794582e-05 54861753353.992805 -10838785.6064943
1597.0432523290028 11333.333333333332 979.3346801614389 2937.559065430291 4.593575032640151e-05 1042.288898886073 3.961164266256395e-05 54675541217.135216 -10836030.938986447
1599.8598528292039 11333.333333333332 981.9839117419906 2937.2004691342295 4.623166426517586e-05 1042.9419510589378 3.961647876023211e-05 54485545081.17064 -10833268.817394285
1602.676453329406 11333.333333333332 984.6386309214868 2936.8388338764307 4.65362739129328e-05 1043.6062151833746 3.9621357037972205e-05 54291599918.38224 -10830499.226232441
1605.4930538296067 11333.333333333332 987.2988161954563 2936.4740843878935 4.685004434918596e-05 1044.2823319782913 3.9626278542231885e-05 54093530124.79396 -10827722.150073543
1608.3096543298093 11333.333333333332 989.9644441702403 2936.1061415655017 4.7173477561565174e-05 1044.9709901947288 3.9631244372506647e-05 53891148516.23292 -10824937.573553352
