0 -90 198.9254791966	010
1 -90 198.937651165055	010
2 -90 198.93765142309	010
3 -90 198.93765111059	010
4 -90 198.937651179815	010
5 -90 198.937651049355	010
6 -90 198.93765117923	010
7 -90 198.93765106592	010
8 -90 198.937651145	010
9 -90 198.93765112482	010
10 -90 198.93765115083	010
11 -90 198.93765113854	010
12 -90 198.937651177275	010
13 -90 198.93765105591	010
14 -90 198.937651139515	010
15 -90 198.93765111718	010
16 -90 198.93765118954	010
17 -90 198.9376510683	010
18 -90 198.937651182135	010
19 -90 198.93765102534	010
20 -90 198.937651183655	010
21 -90 198.937651059225	010
22 -90 198.93765119192	010
23 -90 198.93765104577	010
24 -90 198.937651176955	010
25 -90 198.9376510643	010
26 -90 199.336692431965	010
27 -90 199.919100326485	010
28 -90 200.072632540215	010
29 -90 200.225537899545	010
30 -90 200.61203247314	010
31 -90 201.098232643595	010
32 -90 201.332672914125	010
33 -90 201.81647686441	010
34 -90 201.71705538169	010
35 -90 201.821229492335	010
36 -90 201.710679425925	010
37 -90 201.815008124485	010
38 -90 201.708258503395	010
39 -90 201.81388346751	010
40 -90 201.535484421895	010
41 -90 201.80944771827	010
42 -90 201.71431425376	010
43 -90 201.812934832105	010
44 -90 200.916018337185	010
45 -90 201.045787678335	010
46 -90 200.925202404485	010
47 -90 201.085225561505	010
48 -90 200.5548407714	010
49 -90 200.363498908685	010
50 -90 199.91285520196	010
51 -90 199.333340224155	010
52 -90 198.937651176075	010
53 -90 198.657196334875	010
54 -90 198.15556548806	010
55 -90 198.052500568415	010
56 -90 197.951317424725	010
57 -90 197.935637278175	010
58 -90 197.82343919728	010
59 -90 197.8824781198	010
60 -90 197.806999886375	010
61 -90 197.868992673725	010
62 -90 197.80926942188	010
63 -90 197.86720273192	010
64 -90 198.531827315785	010
65 -90 197.9035361577	010
66 -90 197.933907703135	010
67 -90 198.06276814132	010
68 -90 198.135022310405	010
69 -90 198.4026507332	010
70 -90 198.937651170865	010
71 -90 198.51445149814	010
72 -90 198.52014028251	010
73 -90 198.81594228789	010
74 -90 198.93765120767	010
75 -90 199.422054043345	010
76 -90 199.77661511177	010
77 -90 200.084234929595	010
78 -90 200.288618166185	010
79 -90 200.374716589435	010
80 -90 198.937651106435	010
81 -90 199.510195671415	010
82 -90 198.937651387715	010
83 -90 199.4863454941	010
84 -90 198.937651150215	010
85 -90 198.9376512279	010
86 -90 198.937651166705	010
87 -90 200.364107248675	010
88 -90 201.002953892845	010
89 -90 201.43143119276	010
90 -90 201.549196871885	010
91 -90 201.7270315564	010
92 -90 201.241977436575	010
93 -90 200.968702493165	010
94 -90 200.467105380865	010
95 -90 200.22180351049	010
96 -90 200.27579702926	010
97 -90 199.363226762	010
98 -90 198.60802796374	010
99 -90 197.87887061667	010
100 -90 197.86881006364	010
101 -90 197.82117070882	010
102 -90 197.93713841651	010
103 -90 197.88866609956	010
104 -90 197.93967198349	010
105 -90 197.892391057935	010
106 -90 197.941925990775	010
107 -90 197.86837250739	010
108 -90 197.99072306144	010
109 -90 198.028919444205	010
110 -90 198.14544754423	010
111 -90 198.42594791454	010
112 -90 198.937651104295	010
113 -90 198.439564663595	010
114 -90 198.191662596695	010
115 -90 198.098042926365	010
116 -90 197.9967488307	010
117 -90 197.990331323415	010
118 -90 197.81713743962	010
119 -90 197.86837603676	010
120 -90 197.935141164945	010
121 -90 197.88944586087	010
122 -90 197.94120082831	010
123 -90 197.833521563715	010
124 -90 197.952488466545	010
125 -90 198.04237132164	010
126 -90 197.922696427965	010
127 -90 197.86178892983	010
128 -90 198.046820061065	010
129 -90 198.419453046095	010
130 -90 198.178543086335	010
131 -90 198.07211032173	010
132 -90 198.132696708165	010
133 -90 198.111952466185	010
134 -90 198.050970145165	010
135 -90 198.041318308175	010
136 -90 198.271070230435	010
137 -90 198.48760549431	010
138 -90 198.60344780684	010
139 -90 198.937651133695	010
140 -90 198.52986962702	010
141 -90 198.261792352595	010
142 -90 198.16067460651	010
143 -90 198.23944151548	010
144 -90 198.56920240632	010
145 -90 198.937651316955	010
146 -90 198.653302527635	010
147 -90 198.543900792765	010
148 -90 198.487396828205	010
149 -90 198.487789856235	010
150 -90 198.33022748433	010
151 -90 198.385180818545	010
152 -90 198.11968656283	010
153 -90 198.119782314295	010
154 -90 198.173732620835	010
155 -90 198.3169653561	010
