|6.6.6
pyrolite_1.tab
           2
P(bar)
   1.0000000000000000
   6410.2307692307695
          40
T(K)
   300.00000000000000
   56.410256410256409
          40
          30
P(bar)         T(K)           rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        	vol_Pl1 vol_Pl2 vol_O vol_Cpx1 vol_Cpx2 vol_ky vol_q vol_Opx vol_Gt1 vol_Gt2 vol_Sp vol_C2overc vol_Ring vol_Wad vol_st vol_Wus1 vol_Wus2 vol_Aki1 vol_Aki2 vol_capv vol_CF vol_Pv
  134616.        751.282        3910.24       0.183675E-004   1115.61        10.1134        5.65958      -0.927433E+007	0 0 0 0.078972 0 0 0 0 0.16992 0 0 0 0.70419 0 0.0469173 0 0 0 0 0 0 0
  141026.        751.282        3941.89       0.180209E-004   1113.63        10.2574        5.76173      -0.912102E+007	0 0 0 0.0246917 0 0 0 0 0.175469 0 0 0 0.740737 0 0.0591017 0 0 0 0 0 0 0
  147436.        751.282        3954.24       0.177657E-004   1112.83        10.2943        5.77606      -0.896124E+007	0 0 0 0.0199558 0 0 0 0 0.177555 0 0 0 0.742706 0 0.0597835 0 0 0 0 0 0 0
  153847.        751.282        3966.12       0.175200E-004   1112.07        10.3282        5.78836      -0.880162E+007	0 0 0 0.0160318 0 0 0 0 0.180081 0 0 0 0.743738 0 0.0601486 0 0 0 0 0 0 0
  160257.        751.282        3977.89       0.172824E-004   1111.33        10.3612        5.80028      -0.864237E+007	0 0 0 0.0120311 0 0 0 0 0.182979 0 0 0 0.744555 0 0.060435 0 0 0 0 0 0 0
  166667.        751.282        3989.62       0.170522E-004   1110.60        10.3935        5.81190      -0.848343E+007	0 0 0 0.0076333 0 0 0 0 0.186641 0 0 0 0.745105 0 0.0606205 0 0 0 0 0 0 0
  173077.        751.282        4001.53       0.168293E-004   1109.87        10.4257        5.82394      -0.832488E+007	0 0 0 0.00227987 0 0 0 0 0.191354 0 0 0 0.745595 0 0.0607714 0 0 0 0 0 0 0
  179487.        751.282        4012.45       0.166108E-004   1109.19        10.4555        5.83358      -0.816688E+007	0 0 0 0 0 0 0 0 0.193387 0 0 0 0.745761 0 0.0608525 0 0 0 0 0 0 0
  185898.        751.282        4022.63       0.163969E-004   1108.55        10.4838        5.84152      -0.800934E+007	0 0 0 0 0 0 0 0 0.193359 0 0 0 0.74574 0 0.0609006 0 0 0 0 0 0 0
  192308.        751.282        4032.74       0.161883E-004   1107.93        10.5119        5.84940      -0.785219E+007	0 0 0 0 0 0 0 0 0.193337 0 0 0 0.745715 0 0.060948 0 0 0 0 0 0 0
  198718.        751.282        4042.77       0.159850E-004   1107.31        10.5397        5.85715      -0.769540E+007	0 0 0 0 0 0 0 0 0.193314 0 0 0 0.745692 0 0.0609946 0 0 0 0 0 0 0
  205128.        751.282        4052.74       0.157868E-004   1106.71        10.5672        5.86480      -0.753898E+007	0 0 0 0 0 0 0 0 0.193293 0 0 0 0.745666 0 0.0610405 0 0 0 0 0 0 0
  211539.        751.282        4067.08       0.157286E-004   1106.67        10.5955        5.87262      -0.738180E+007	0 0 0 0 0 0 0 0 0.192072 0 0 0 0.738878 0 0.0583999 0 0 0 0 0.0106501 0 0
  217949.        751.282        4083.75       0.157488E-004   1106.94        10.6241        5.88059      -0.722502E+007	0 0 0 0 0 0 0 0 0.190173 0 0 0 0.728408 0 0.0542826 0 0 0 0 0.0271367 0 0
  224359.        751.282        4126.79       0.157153E-004   1106.41        10.7383        5.91284      -0.707723E+007	0 0 0 0 0 0 0 0 0.123835 0 0 0 0.584404 0 0 0 0 0.223256 0.0194544 0.0490498 0 0
  230769.        751.282        4400.41       0.194685E-004   1101.52        11.2563        6.56940      -0.695785E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.386809 0.46755 0 0.050481 0 0.0716685 0.0234911 0
  237180.        751.282        4410.12       0.192769E-004   1100.80        11.2835        6.58180      -0.681436E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.387323 0.467467 0 0.0496358 0 0.0716784 0.0238959 0
  243590.        751.282        4419.77       0.190891E-004   1100.10        11.3106        6.59420      -0.667117E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.387762 0.467322 0 0.0489119 0 0.071688 0.0243158 0
  250000.        751.282        4429.37       0.189061E-004   1099.40        11.3374        6.60637      -0.652828E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388298 0.46725 0 0.047972 0 0.0716978 0.0247824 0
  1.00000        807.692        3169.00       0.286890E-004   1157.48        7.00393        3.42948      -0.128874E+008	0.124613 0.0327788 0.728337 0.0569198 0 0 0.0573519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        807.692        3245.76       0.294726E-004   1155.98        7.83539        4.46223      -0.126927E+008	0.122761 0 0.615662 0.061745 0.0381679 0 0 0.161664 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        807.692        3376.08       0.298422E-004   1155.49        8.18563        4.67963      -0.125129E+008	0 0 0.580336 0.130985 0.0292985 0 0 0.112966 0.146415 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        807.692        3393.82       0.289114E-004   1153.88        8.24617        4.69837      -0.123283E+008	0 0 0.580384 0.1324 0.0296719 0 0 0.109888 0.147656 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        807.692        3411.12       0.280443E-004   1152.36        8.30445        4.71657      -0.121445E+008	0 0 0.580383 0.133847 0.028964 0 0 0.108148 0.148658 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        807.692        3427.90       0.272380E-004   1150.94        8.36075        4.73413      -0.119615E+008	0 0 0.580374 0.134943 0.0289597 0 0 0.106749 0.148974 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        807.692        3444.34       0.264830E-004   1149.59        8.41533        4.75106      -0.117792E+008	0 0 0.580339 0.13662 0.0284815 0 0 0.105466 0.149093 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        807.692        3460.50       0.257705E-004   1148.31        8.46891        4.76781      -0.115977E+008	0 0 0.580296 0.13774 0.0279098 0 0 0.104653 0.149401 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        807.692        3476.38       0.251000E-004   1147.09        8.52137        4.78426      -0.114169E+008	0 0 0.58024 0.138781 0.0275323 0 0 0.103779 0.149667 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        807.692        3500.06       0.256843E-004   1147.72        8.60753        4.83362      -0.112387E+008	0 0 0.581464 0.140268 0.0272425 0 0 0 0.150125 0 0 0.1009 0 0 0 0 0 0 0 0 0 0
  64103.3        807.692        3515.78       0.251188E-004   1146.61        8.65892        4.85171      -0.110600E+008	0 0 0.581438 0.141053 0.02092 0 0 0 0.150642 0 0 0.105947 0 0 0 0 0 0 0 0 0 0
  70513.5        807.692        3531.16       0.245781E-004   1145.53        8.70906        4.86905      -0.108819E+008	0 0 0.58141 0.141656 0.0156085 0 0 0 0.151026 0 0 0.110299 0 0 0 0 0 0 0 0 0 0
  76923.8        807.692        3546.28       0.240596E-004   1144.49        8.75832        4.88607      -0.107045E+008	0 0 0.581368 0.142649 0.010652 0 0 0 0.151528 0 0 0.113803 0 0 0 0 0 0 0 0 0 0
  83334.0        807.692        3561.19       0.235666E-004   1143.48        8.80725        4.90333      -0.105277E+008	0 0 0.581317 0.142716 0.00645262 0 0 0 0.15207 0 0 0.117444 0 0 0 0 0 0 0 0 0 0
  89744.2        807.692        3575.85       0.230910E-004   1142.51        8.85486        4.91962      -0.103516E+008	0 0 0.581272 0.143334 0.0024775 0 0 0 0.152708 0 0 0.120209 0 0 0 0 0 0 0 0 0 0
  96154.5        807.692        3590.29       0.226332E-004   1141.57        8.90196        4.93590      -0.101761E+008	0 0 0.581209 0.142995 0 0 0 0 0.153502 0 0 0.122295 0 0 0 0 0 0 0 0 0 0
  102565.        807.692        3615.35       0.221491E-004   1140.44        8.99382        4.98055      -0.100044E+008	0 0 0.542794 0.141277 0 0 0 0 0.154582 0 0 0.123982 0.0373644 0 0 0 0 0 0 0 0 0
  108975.        807.692        3648.91       0.216437E-004   1139.10        9.11633        5.04430      -0.983470E+007	0 0 0.472909 0.139748 0 0 0 0 0.155964 0 0 0.126047 0.105332 0 0 0 0 0 0 0 0 0
  115385.        807.692        3755.51       0.222293E-004   1139.26        9.52515        5.29841      -0.967686E+007	0 0 0 0.140858 0 0 0 0 0.160061 0 0 0.131228 0.0451296 0.522723 0 0 0 0 0 0 0 0
  121795.        807.692        3780.36       0.213945E-004   1137.10        9.62115        5.34630      -0.951371E+007	0 0 0 0.138277 0 0 0 0 0.162469 0 0 0.132427 0.202882 0.363944 0 0 0 0 0 0 0 0
  128206.        807.692        3813.45       0.202752E-004   1134.04        9.73846        5.40883      -0.935388E+007	0 0 0 0.135629 0 0 0 0 0.163966 0 0 0.135582 0.465228 0.0995943 0 0 0 0 0 0 0 0
  134616.        807.692        3894.53       0.187152E-004   1128.67        10.0314        5.59402      -0.920715E+007	0 0 0 0.107703 0 0 0 0 0.169165 0 0 0 0.683219 0 0.0399135 0 0 0 0 0 0 0
  141026.        807.692        3917.81       0.183992E-004   1127.33        10.1260        5.65480      -0.904919E+007	0 0 0 0.0759034 0 0 0 0 0.17301 0 0 0 0.704199 0 0.0468874 0 0 0 0 0 0 0
  147436.        807.692        3940.29       0.180977E-004   1126.04        10.2170        5.71360      -0.889268E+007	0 0 0 0.0452807 0 0 0 0 0.17737 0 0 0 0.723886 0 0.0534637 0 0 0 0 0 0 0
  153847.        807.692        3962.10       0.178117E-004   1124.79        10.3055        5.77140      -0.873784E+007	0 0 0 0.0153705 0 0 0 0 0.182042 0 0 0 0.742798 0 0.0597894 0 0 0 0 0 0 0
  160257.        807.692        3972.32       0.175733E-004   1124.16        10.3301        5.77600      -0.857756E+007	0 0 0 0.0154487 0 0 0 0 0.184924 0 0 0 0.74057 0 0.0590579 0 0 0 0 0 0 0
  166667.        807.692        3985.62       0.173338E-004   1123.37        10.3711        5.79491      -0.841974E+007	0 0 0 0.00715279 0 0 0 0 0.188579 0 0 0 0.744043 0 0.0602258 0 0 0 0 0 0 0
  173077.        807.692        3997.67       0.171046E-004   1122.66        10.4049        5.80797      -0.826160E+007	0 0 0 0.00185661 0 0 0 0 0.192302 0 0 0 0.745219 0 0.0606219 0 0 0 0 0 0 0
  179487.        807.692        4008.55       0.168814E-004   1122.01        10.4351        5.81768      -0.810375E+007	0 0 0 0 0 0 0 0 0.19362 0 0 0 0.745597 0 0.0607831 0 0 0 0 0 0 0
  185898.        807.692        4018.80       0.166632E-004   1121.39        10.4637        5.82582      -0.794629E+007	0 0 0 0 0 0 0 0 0.193434 0 0 0 0.745694 0 0.0608718 0 0 0 0 0 0 0
  192308.        807.692        4028.95       0.164505E-004   1120.79        10.4919        5.83377      -0.778918E+007	0 0 0 0 0 0 0 0 0.193381 0 0 0 0.745692 0 0.0609267 0 0 0 0 0 0 0
  198718.        807.692        4039.03       0.162430E-004   1120.19        10.5199        5.84164      -0.763243E+007	0 0 0 0 0 0 0 0 0.193435 0 0 0 0.745609 0 0.0609562 0 0 0 0 0 0 0
  205128.        807.692        4050.21       0.160781E-004   1119.76        10.5479        5.84936      -0.747566E+007	0 0 0 0 0 0 0 0 0.19301 0 0 0 0.743821 0 0.0602969 0 0 0 0 0.00287198 0 0
  211539.        807.692        4066.28       0.160719E-004   1119.96        10.5768        5.85738      -0.731814E+007	0 0 0 0 0 0 0 0 0.191304 0 0 0 0.734381 0 0.0566011 0 0 0 0 0.0177143 0 0
  217949.        807.692        4081.17       0.160375E-004   1120.04        10.6052        5.86529      -0.716184E+007	0 0 0 0 0 0 0 0 0.189789 0 0 0 0.726636 0 0.0535585 0 0 0 0 0.0300161 0 0
  224359.        807.692        4106.56       0.158892E-004   1120.15        10.6494        5.84520      -0.700743E+007	0 0 0 0 0 0 0 0 0.182717 0 0 0 0.582153 0 0 0 0 0.194862 0 0.0402682 0 0
  230769.        807.692        4278.65       0.170475E-004   1118.26        11.0223        6.10402      -0.688204E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.163859 0 0.703248 0.0393107 0.0697886 0.0237939 0
  237180.        807.692        4405.43       0.196089E-004   1116.00        11.2607        6.56152      -0.675158E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.387399 0.467244 0 0.0482737 0 0.0717073 0.0253761 0
  243590.        807.692        4415.16       0.194204E-004   1115.33        11.2876        6.57352      -0.660839E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388304 0.467518 0 0.0467565 0 0.0717178 0.025704 0
  250000.        807.692        4424.80       0.192336E-004   1114.66        11.3145        6.58585      -0.646553E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388809 0.467426 0 0.0458936 0 0.0717273 0.0261436 0
  1.00000        864.103        3164.00       0.292282E-004   1166.78        6.98435        3.41903      -0.128217E+008	0.125394 0.0316659 0.728375 0.0573359 0 0 0.0572291 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        864.103        3240.49       0.300965E-004   1165.39        7.80380        4.44277      -0.126266E+008	0.122143 0 0.615544 0.0638095 0.037398 0 0 0.161105 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        864.103        3369.77       0.304051E-004   1165.05        8.15255        4.65780      -0.124465E+008	0 0 0.580374 0.132683 0.0279792 0 0 0.114017 0.144947 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        864.103        3387.90       0.294354E-004   1163.37        8.21499        4.67714      -0.122621E+008	0 0 0.580461 0.133418 0.0285384 0 0 0.110389 0.147193 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        864.103        3405.29       0.285389E-004   1161.80        8.27418        4.69578      -0.120784E+008	0 0 0.580472 0.13429 0.0285711 0 0 0.10859 0.148077 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        864.103        3422.32       0.277067E-004   1160.33        8.33140        4.71353      -0.118955E+008	0 0 0.580476 0.136149 0.0279788 0 0 0.106639 0.148757 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        864.103        3438.89       0.269255E-004   1158.93        8.38660        4.73064      -0.117132E+008	0 0 0.580434 0.137463 0.0275331 0 0 0.105513 0.149058 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        864.103        3455.17       0.261920E-004   1157.61        8.44054        4.74744      -0.115317E+008	0 0 0.580388 0.138917 0.0266876 0 0 0.10469 0.149317 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        864.103        3471.16       0.255015E-004   1156.36        8.49367        4.76423      -0.113510E+008	0 0 0.58034 0.139657 0.0264058 0 0 0.103961 0.149636 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        864.103        3486.87       0.248505E-004   1155.17        8.54522        4.78019      -0.111709E+008	0 0 0.580296 0.140908 0.0256806 0 0 0.103226 0.149889 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        864.103        3510.45       0.254900E-004   1156.06        8.63214        4.83115      -0.109940E+008	0 0 0.581523 0.142271 0.0207822 0 0 0 0.150681 0 0 0.104743 0 0 0 0 0 0 0 0 0 0
  70513.5        864.103        3525.94       0.249367E-004   1154.98        8.68260        4.84859      -0.108160E+008	0 0 0.581489 0.144006 0.0141821 0 0 0 0.151047 0 0 0.109276 0 0 0 0 0 0 0 0 0 0
  76923.8        864.103        3541.21       0.244100E-004   1153.94        8.73249        4.86603      -0.106387E+008	0 0 0.581452 0.145127 0.00822773 0 0 0 0.151563 0 0 0.11363 0 0 0 0 0 0 0 0 0 0
  83334.0        864.103        3556.21       0.239029E-004   1152.93        8.78128        4.88283      -0.104620E+008	0 0 0.581411 0.146369 0.00310515 0 0 0 0.152195 0 0 0.11692 0 0 0 0 0 0 0 0 0 0
  89744.2        864.103        3570.97       0.234146E-004   1151.95        8.82937        4.89942      -0.102859E+008	0 0 0.581359 0.146312 0 0 0 0 0.152977 0 0 0.119352 0 0 0 0 0 0 0 0 0 0
  96154.5        864.103        3585.45       0.229436E-004   1151.00        8.87651        4.91554      -0.101104E+008	0 0 0.581315 0.143814 0 0 0 0 0.153907 0 0 0.120964 0 0 0 0 0 0 0 0 0 0
  102565.        864.103        3600.88       0.224894E-004   1150.07        8.92804        4.93478      -0.993613E+007	0 0 0.577419 0.141417 0 0 0 0 0.155008 0 0 0.122409 0.00374635 0 0 0 0 0 0 0 0 0
  108975.        864.103        3631.96       0.219992E-004   1148.94        9.04577        4.99599      -0.976780E+007	0 0 0.516564 0.140094 0 0 0 0 0.156126 0 0 0.124225 0.0629914 0 0 0 0 0 0 0 0 0
  115385.        864.103        3747.37       0.226747E-004   1149.76        9.48473        5.26970      -0.961049E+007	0 0 0 0.141817 0 0 0 0 0.160687 0 0 0.129276 0 0.568219 0 0 0 0 0 0 0 0
  121795.        864.103        3767.44       0.220146E-004   1148.12        9.56355        5.30675      -0.944616E+007	0 0 0 0.139056 0 0 0 0 0.16211 0 0 0.13117 0.0980217 0.469642 0 0 0 0 0 0 0 0
  128206.        864.103        3796.49       0.210297E-004   1145.54        9.67193        5.36338      -0.928553E+007	0 0 0 0.136421 0 0 0 0 0.163729 0 0 0.133721 0.31007 0.256058 0 0 0 0 0 0 0 0
  134616.        864.103        3882.88       0.190163E-004   1139.43        9.97186        5.54697      -0.914093E+007	0 0 0 0.126552 0 0 0 0 0.16803 0 0 0 0.669932 0 0.0354861 0 0 0 0 0 0 0
  141026.        864.103        3911.21       0.186729E-004   1137.97        10.0930        5.62898      -0.898441E+007	0 0 0 0.0821762 0 0 0 0 0.172446 0 0 0 0.69991 0 0.0454679 0 0 0 0 0 0 0
  147436.        864.103        3942.48       0.183371E-004   1136.38        10.2316        5.72698      -0.883173E+007	0 0 0 0.0286185 0 0 0 0 0.178501 0 0 0 0.735533 0 0.0573475 0 0 0 0 0 0 0
  153847.        864.103        3957.34       0.180730E-004   1135.53        10.2815        5.75260      -0.867369E+007	0 0 0 0.0171425 0 0 0 0 0.181623 0 0 0 0.741788 0 0.0594462 0 0 0 0 0 0 0
  160257.        864.103        3969.82       0.178247E-004   1134.81        10.3179        5.76714      -0.851483E+007	0 0 0 0.0114848 0 0 0 0 0.184834 0 0 0 0.743616 0 0.0600651 0 0 0 0 0 0 0
  166667.        864.103        3982.05       0.175852E-004   1134.10        10.3523        5.78048      -0.835621E+007	0 0 0 0.00605507 0 0 0 0 0.188621 0 0 0 0.744848 0 0.0604764 0 0 0 0 0 0 0
  173077.        864.103        3994.29       0.173537E-004   1133.42        10.3857        5.79351      -0.819789E+007	0 0 0 3.9046e-05 0 0 0 0 0.193464 0 0 0 0.745739 0 0.060758 0 0 0 0 0 0 0
  179487.        864.103        4004.64       0.171253E-004   1132.80        10.4147        5.80173      -0.804004E+007	0 0 0 0 0 0 0 0 0.19347 0 0 0 0.745722 0 0.0608084 0 0 0 0 0 0 0
  185898.        864.103        4014.90       0.169030E-004   1132.19        10.4433        5.80981      -0.788256E+007	0 0 0 0 0 0 0 0 0.193442 0 0 0 0.745701 0 0.0608569 0 0 0 0 0 0 0
  192308.        864.103        4025.08       0.166865E-004   1131.60        10.4716        5.81770      -0.772545E+007	0 0 0 0 0 0 0 0 0.193411 0 0 0 0.745685 0 0.0609044 0 0 0 0 0 0 0
  198718.        864.103        4035.21       0.164755E-004   1131.02        10.4998        5.82572      -0.756877E+007	0 0 0 0 0 0 0 0 0.193224 0 0 0 0.745783 0 0.0609929 0 0 0 0 0 0 0
  205128.        864.103        4049.47       0.164040E-004   1131.00        10.5286        5.83362      -0.741107E+007	0 0 0 0 0 0 0 0 0.192031 0 0 0 0.739224 0 0.058445 0 0 0 0 0.0103 0 0
  211539.        864.103        4064.77       0.163735E-004   1131.13        10.5576        5.84170      -0.725393E+007	0 0 0 0 0 0 0 0 0.190514 0 0 0 0.730903 0 0.0551895 0 0 0 0 0.0233937 0 0
  217949.        864.103        4078.97       0.163155E-004   1131.14        10.5862        5.84982      -0.709791E+007	0 0 0 0 0 0 0 0 0.189267 0 0 0 0.72415 0 0.052548 0 0 0 0 0.0340349 0 0
  224359.        864.103        4103.38       0.161434E-004   1131.17        10.6294        5.82919      -0.694359E+007	0 0 0 0 0 0 0 0 0.182489 0 0 0 0.582332 0 0 0 0 0.192702 0 0.0424774 0 0
  230769.        864.103        4227.73       0.172142E-004   1131.19        10.8276        5.95602      -0.680065E+007	0 0 0 0 0 0 0 0 0.163788 0 0 0 0 0 0 0.16962 0 0.615069 0 0.0515231 0 0
  237180.        864.103        4400.73       0.199120E-004   1128.91        11.2369        6.53999      -0.668791E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388396 0.467944 0 0.0455409 0 0.0717377 0.0263813 0
  243590.        864.103        4410.48       0.197177E-004   1128.25        11.2642        6.55253      -0.654481E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388919 0.467825 0 0.0445767 0 0.0717476 0.0269314 0
  250000.        864.103        4420.15       0.195270E-004   1127.60        11.2913        6.56503      -0.640200E+007	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.38932 0.467602 0 0.0438157 0 0.0717571 0.027505 0
  1.00000        920.513        3158.98       0.297585E-004   1175.01        6.96436        3.40835      -0.127555E+008	0.126226 0.0304134 0.728361 0.0579107 0 0 0.0570887 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  6411.23        920.513        3221.79       0.307016E-004   1173.65        7.72612        4.39530      -0.125598E+008	0.120472 0.0206498 0.621719 0.0702042 0 0 0 0.166954 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  12821.5        920.513        3363.22       0.309583E-004   1173.50        8.11851        4.63583      -0.123795E+008	0 0 0.580365 0.134411 0.0268643 0 0 0.115457 0.142902 0 0 0 0 0 0 0 0 0 0 0 0 0
  19231.7        920.513        3381.80       0.299499E-004   1171.74        8.18338        4.65599      -0.121953E+008	0 0 0.580519 0.135157 0.0275194 0 0 0.110586 0.146218 0 0 0 0 0 0 0 0 0 0 0 0 0
  25641.9        920.513        3399.48       0.290225E-004   1170.09        8.24385        4.67495      -0.120118E+008	0 0 0.580543 0.135824 0.0280737 0 0 0.107889 0.14767 0 0 0 0 0 0 0 0 0 0 0 0 0
  32052.2        920.513        3416.60       0.281604E-004   1168.55        8.30154        4.69287      -0.118289E+008	0 0 0.580543 0.137132 0.0275725 0 0 0.106419 0.148334 0 0 0 0 0 0 0 0 0 0 0 0 0
  38462.4        920.513        3433.40       0.273543E-004   1167.10        8.35777        4.71042      -0.116468E+008	0 0 0.58052 0.138514 0.0267267 0 0 0.105252 0.148988 0 0 0 0 0 0 0 0 0 0 0 0 0
  44872.6        920.513        3449.81       0.265986E-004   1165.73        8.41243        4.72760      -0.114654E+008	0 0 0.580479 0.139773 0.0259161 0 0 0.10453 0.149302 0 0 0 0 0 0 0 0 0 0 0 0 0
  51282.8        920.513        3465.89       0.258887E-004   1164.44        8.46557        4.74400      -0.112846E+008	0 0 0.580451 0.140792 0.0254487 0 0 0.103751 0.149558 0 0 0 0 0 0 0 0 0 0 0 0 0
  57693.1        920.513        3481.79       0.252179E-004   1163.21        8.51790        4.76036      -0.111046E+008	0 0 0.580409 0.142104 0.0241699 0 0 0.103203 0.150115 0 0 0 0 0 0 0 0 0 0 0 0 0
  64103.3        920.513        3505.06       0.258385E-004   1164.26        8.60548        4.81101      -0.109277E+008	0 0 0.581568 0.144144 0.0206363 0 0 0 0.150732 0 0 0.10292 0 0 0 0 0 0 0 0 0 0
  70513.5        920.513        3520.73       0.252762E-004   1163.17        8.65649        4.82871      -0.107497E+008	0 0 0.581561 0.145747 0.0130595 0 0 0 0.151235 0 0 0.108398 0 0 0 0 0 0 0 0 0 0
  76923.8        920.513        3536.13       0.247365E-004   1162.12        8.70660        4.84605      -0.105724E+008	0 0 0.581532 0.14787 0.00594302 0 0 0 0.151862 0 0 0.112793 0 0 0 0 0 0 0 0 0 0
  83334.0        920.513        3551.21       0.242163E-004   1161.09        8.75546        4.86259      -0.103957E+008	0 0 0.581498 0.149995 0 0 0 0 0.152481 0 0 0.116026 0 0 0 0 0 0 0 0 0 0
  89744.2        920.513        3566.03       0.237142E-004   1160.10        8.80404        4.87957      -0.102198E+008	0 0 0.581444 0.147251 0 0 0 0 0.15343 0 0 0.117874 0 0 0 0 0 0 0 0 0 0
  96154.5        920.513        3580.63       0.232318E-004   1159.14        8.85142        4.89576      -0.100444E+008	0 0 0.581393 0.144937 0 0 0 0 0.154474 0 0 0.119196 0 0 0 0 0 0 0 0 0 0
  102565.        920.513        3595.06       0.227694E-004   1158.21        8.89821        4.91174      -0.986962E+007	0 0 0.581345 0.142551 0 0 0 0 0.155686 0 0 0.120417 0 0 0 0 0 0 0 0 0 0
  108975.        920.513        3619.29       0.222956E-004   1157.22        8.98751        4.95508      -0.969921E+007	0 0 0.545611 0.140494 0 0 0 0 0.157064 0 0 0.122059 0.0347722 0 0 0 0 0 0 0 0 0
  115385.        920.513        3742.64       0.229578E-004   1158.52        9.46157        5.25173      -0.954483E+007	0 0 0 0.142757 0 0 0 0 0.161926 0 0 0.127046 0 0.56827 0 0 0 0 0 0 0 0
  121795.        920.513        3756.45       0.225428E-004   1157.54        9.50967        5.26939      -0.937781E+007	0 0 0 0.139799 0 0 0 0 0.163613 0 0 0.128257 0.0127985 0.555532 0 0 0 0 0 0 0 0
  128206.        920.513        3782.14       0.216704E-004   1155.34        9.61015        5.32052      -0.921644E+007	0 0 0 0.137329 0 0 0 0 0.165548 0 0 0.129914 0.18256 0.384649 0 0 0 0 0 0 0 0
  134616.        920.513        3858.92       0.198631E-004   1150.11        9.87629        5.47902      -0.906948E+007	0 0 0 0.13508 0 0 0 0 0.169512 0 0 0 0.472512 0.190352 0.032544 0 0 0 0 0 0 0
  141026.        920.513        3897.91       0.189503E-004   1147.33        10.0245        5.57422      -0.891637E+007	0 0 0 0.10469 0 0 0 0 0.172459 0 0 0 0.683027 0 0.0398242 0 0 0 0 0 0 0
  147436.        920.513        3926.94       0.186177E-004   1145.96        10.1490        5.65995      -0.876195E+007	0 0 0 0.057739 0 0 0 0 0.17737 0 0 0 0.714556 0 0.0503346 0 0 0 0 0 0 0
  153847.        920.513        3951.36       0.183173E-004   1144.78        10.2500        5.72777      -0.860793E+007	0 0 0 0.0213811 0 0 0 0 0.182598 0 0 0 0.737896 0 0.0581256 0 0 0 0 0 0 0
  160257.        920.513        3965.23       0.180613E-004   1144.01        10.2937        5.74850      -0.844992E+007	0 0 0 0.0123874 0 0 0 0 0.185755 0 0 0 0.742264 0 0.0595934 0 0 0 0 0 0 0
  166667.        920.513        3977.94       0.178171E-004   1143.31        10.3303        5.76361      -0.829159E+007	0 0 0 0.00585386 0 0 0 0 0.189631 0 0 0 0.74426 0 0.0602557 0 0 0 0 0 0 0
  173077.        920.513        3990.22       0.175809E-004   1142.63        10.3644        5.77698      -0.813344E+007	0 0 0 0 0 0 0 0 0.193951 0 0 0 0.745416 0 0.0606333 0 0 0 0 0 0 0
  179487.        920.513        4000.63       0.173483E-004   1142.01        10.3936        5.78542      -0.797567E+007	0 0 0 0 0 0 0 0 0.19376 0 0 0 0.745515 0 0.0607245 0 0 0 0 0 0 0
  185898.        920.513        4010.96       0.171219E-004   1141.41        10.4226        5.79374      -0.781828E+007	0 0 0 0 0 0 0 0 0.193572 0 0 0 0.745613 0 0.0608148 0 0 0 0 0 0 0
  192308.        920.513        4021.21       0.169016E-004   1140.82        10.4513        5.80188      -0.766125E+007	0 0 0 0 0 0 0 0 0.19338 0 0 0 0.745716 0 0.0609042 0 0 0 0 0 0 0
